feature,file_name,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,spectral_centroid,spectral_centroid,spectral_centroid,spectral_bandwidth,spectral_bandwidth,spectral_bandwidth,zero_crossing_rate,zero_crossing_rate,zero_crossing_rate,rmse,rmse,rmse,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,tempo
220,country.00020.wav,-161.19606,-383.63968,-31.257078,74.76473,-70.93,149.40251,22.41922,-21.388737,98.762405,46.01183,-8.8277855,88.39883,5.2807126,-39.796448,53.24902,25.113436,-12.305517,58.8435,-0.5761163,-46.18045,25.507446,10.385749,-14.928298,36.35133,-6.833753,-42.607536,21.474178,5.054583,-27.433598,42.081673,-0.7702397,-27.176765,19.676037,1.403467,-23.912981,29.14162,-6.0123224,-32.925377,21.898571,2407.9531761672592,453.1624395224903,6959.774666833075,2532.4203413039213,1255.3762092872917,3679.734818631706,0.08680454853054911,0.00341796875,0.64453125,0.105174266,0.016523473,0.19306916,22.308238899880752,7.7726271633331665,45.63162496721523,20.556325445889303,8.439036949759391,38.22771437469034,22.55589616720399,9.81080888501908,40.96149025430299,19.78964095757309,8.490553285484856,33.15249332441735,18.777051585645847,7.908108412746446,28.852567922970536,17.210035379903815,4.817029744361081,27.2772101894337,18.715949402215756,4.039066118839749,28.395271762090495,103.359375
221,country.00021.wav,-209.33365,-364.50198,-69.49074,167.1017,52.81842,217.23703,-20.841473,-68.82829,30.853973,36.802998,-13.083317,98.93439,10.272971,-68.04401,49.882805,3.9958642,-27.004892,43.03759,-5.6698804,-48.17579,26.496138,-4.625789,-36.951744,30.748081,-6.2444205,-41.917572,31.007507,-4.1741776,-33.28691,23.830141,-6.6804767,-35.216698,19.764679,-3.2626216,-28.787712,19.311508,-7.9688377,-32.811512,14.335777,1044.7200862613543,553.2689227548294,3282.7002520500464,1393.8079039816196,972.7344049924803,2861.1805825847823,0.04564919881090487,0.013671875,0.21337890625,0.10979616,0.018880548,0.20264672,26.496400839466585,9.961198158707704,62.6428363529123,17.649889831447613,5.745692783233537,34.67518372050063,21.710567953244713,7.658768835792817,36.81740571074627,19.309654006524227,10.427533828071624,33.51207923799347,20.02309778658483,12.592786767963975,30.859038871917875,20.531044711968505,11.649934300062942,30.635421906434264,16.3969129922738,5.479839598337362,28.639004665001362,107.666015625
222,country.00022.wav,-195.07317,-352.37003,-30.955051,114.25745,43.36657,160.67114,0.0414753,-59.092026,55.00292,38.20062,-23.862652,72.06299,11.286058,-40.40586,58.408535,-6.0460644,-60.61812,32.774975,1.2285593,-38.547127,34.818592,0.014777211,-28.811089,28.197197,-15.4136305,-50.22388,15.521181,-3.5779057,-31.57859,26.90337,-6.1284695,-31.157757,18.848557,-4.5047817,-29.239252,26.879538,-0.124256626,-23.122429,25.302284,1719.4714520311265,802.4229081785445,3906.9646305437527,2142.376265771634,1567.3009757714094,3425.444009287579,0.06805726749806651,0.01611328125,0.19384765625,0.07508869,0.020714357,0.21791466,23.800676536423495,9.829016198291766,41.81801261775087,16.06515963112747,6.1453250182858445,36.38265743665054,21.129393529972408,8.27087529212033,37.49924013948889,19.997686175385553,9.18032293995509,32.8859215095115,20.297267552593507,10.59639662839884,32.318724555375454,21.6499420959827,11.063161587161261,30.538170381715,15.868415232711186,11.681635598244469,21.96142657587252,184.5703125
223,country.00023.wav,-353.09116,-521.22437,-92.18306,110.67462,-55.51817,177.92743,32.743443,-62.166885,96.44421,24.189941,-32.83878,61.790817,18.754097,-34.470207,67.05812,5.9265885,-26.878681,37.858463,-1.7344855,-46.209488,27.477085,3.8793368,-22.848238,32.950233,-2.979119,-39.26484,22.24009,-1.9010768,-27.32026,25.501205,-2.8730125,-33.90619,22.935265,-0.9832503,-27.756031,30.274443,-6.486425,-29.868319,13.84717,1495.5580556268485,634.0580068908313,6246.139611993952,2331.9170617315413,1422.1488724700605,4014.712178773305,0.03546364438321732,0.00390625,0.53515625,0.03888375,0.0022881061,0.1059896,26.942415176696876,10.525202764220287,57.00483281421603,19.982957438604696,8.167096586382108,34.12424731225905,22.767060146258725,7.854518492398393,41.160304342183146,20.703700448969037,3.198116016651526,33.1778218706733,19.556659780809444,6.2914781419509005,33.52720671588803,17.132939786897786,7.503176334992695,25.09039905982191,15.544134722899075,9.469490425001547,21.45629353023001,83.35433467741936
224,country.00024.wav,-200.06026,-390.0565,-39.54417,109.140465,11.387943,191.83499,-5.542463,-54.21991,54.35103,48.140514,-3.2859406,92.89273,1.2196505,-57.3749,66.283646,4.592618,-33.072884,41.363552,-9.150064,-47.126083,24.622353,-1.4768001,-35.339558,28.004238,-11.666416,-42.6557,11.187285,-5.2047043,-35.054535,25.644112,-11.545386,-34.57287,17.985197,4.9804335,-25.332075,32.501488,-4.9844666,-29.590092,26.53337,1738.8802794251203,606.3017273749384,3764.5690541075555,1907.2670832046142,1124.9285027146964,3122.0932098661574,0.08241794760247487,0.01220703125,0.19287109375,0.09655079,0.013302724,0.24876715,22.199268256273896,7.687882368113637,52.33225700234807,18.679068951390146,7.022074400039191,32.60349342134799,23.72951330922392,7.450917912700323,38.56242433063886,22.624619906487236,9.602432552985258,36.83484714815999,22.78694389046305,10.278527224288517,35.203156009492375,20.713430081168624,10.672064293587633,31.04750826581933,19.131569042643253,11.229135998512511,29.145120270911953,129.19921875
225,country.00025.wav,-200.6344,-351.5374,-30.608381,119.69184,0.12583709,183.58904,-3.5907493,-56.79647,53.531326,31.953747,-8.483288,83.92308,9.979258,-30.692003,47.08842,15.293263,-44.36154,43.984856,0.64658076,-32.76667,29.826363,0.23592444,-26.126575,30.23024,-4.4701905,-33.98428,14.774801,-2.3123803,-36.265594,25.022007,-5.2613406,-30.87355,16.07791,-2.4783907,-25.236357,18.901875,-6.041272,-36.42583,14.601681,1565.155663257242,647.3816911615285,5376.8200607889385,2016.0878279617248,1236.2430974929316,3598.076909733364,0.05727693892594741,0.0126953125,0.40234375,0.07988017,0.018210268,0.20950408,23.445713726983186,9.862353730600027,53.7973503985547,19.652658254726493,5.161873340844007,35.85344440543811,21.97198595723281,9.491857461789454,37.128562909190734,19.399080073197915,7.870282864269334,33.01698007877841,20.03571419086769,11.613870904176034,30.905773666584274,17.785008878497884,9.103134067975075,27.608452082537063,16.56011174416937,10.66215075687878,25.941270539568556,73.828125
226,country.00026.wav,-194.2351,-310.2308,-69.65493,151.79347,6.2486324,218.05449,-3.0450046,-71.71597,58.084625,29.49471,-5.1629896,90.26672,9.111863,-42.145103,48.831482,5.9693475,-32.80491,37.850784,3.7879229,-31.163008,39.594585,3.7599015,-34.72343,40.72963,-5.853435,-38.96016,21.029478,1.5923067,-23.883083,33.056767,-3.765781,-36.58474,22.950094,0.94019216,-26.41259,27.394396,1.9712701,-29.429836,31.55629,1270.301226914328,560.015547207365,4231.42220029093,1702.208123239175,1069.9386010518979,2982.8633101768705,0.05480418902262181,0.01025390625,0.294921875,0.10050229,0.027095674,0.19257346,22.2021258209477,9.71656552697226,49.59851624826937,17.943425545309267,6.08840205927407,35.47221613949915,21.16731069604971,6.515826795385245,42.546103570440614,21.786632818150427,10.916518010594768,34.10619542377593,21.024812061483615,10.59321255919372,32.285882034379185,18.914568285965235,5.041348265663373,33.255364274631525,15.775366359386638,3.3158991906812902,26.538850010066618,107.666015625
227,country.00027.wav,-100.76679,-246.43849,16.305965,106.98421,35.874424,175.1017,-27.158413,-87.06147,38.021446,29.09983,-9.414552,79.185776,5.039681,-48.978806,42.382896,-5.423927,-44.41677,29.712934,3.2426603,-24.600555,31.806387,-5.179371,-27.163246,14.598916,-5.118583,-35.955544,16.800789,-0.8158501,-27.773682,20.807878,-3.8342147,-26.07885,20.553205,-2.7052553,-27.97131,18.144444,-6.645411,-28.26022,15.346181,2011.7251476004385,1087.4703481893544,3916.2775100270546,2140.448308361406,1310.2292369015486,3397.677752699983,0.09735036615429234,0.025390625,0.21044921875,0.11655147,0.037314933,0.23072238,29.738578287490387,17.306277492549974,63.92192504732718,16.01189834309522,6.395214347157351,31.603727619651558,18.45628666010944,7.786135331146713,32.845005746175495,17.866379583195013,10.247672586111653,30.120984024136327,18.112114962350496,11.55769722567204,27.241870022576382,20.604122298925898,12.234435045272402,30.947698720473433,15.128859222469462,11.291905804217173,23.316645037973057,92.28515625
228,country.00028.wav,-169.22511,-269.7551,-69.103065,132.78679,49.63495,178.34686,-13.487547,-55.734528,41.92839,31.186213,-15.428812,73.2301,6.340469,-36.826584,48.24293,-3.7556648,-36.28752,24.894304,-2.0590014,-29.646332,30.973713,-3.6253164,-26.157648,23.284817,-4.56124,-45.009773,18.402403,1.2809826,-24.776333,30.027504,-6.97704,-32.22013,22.702118,-7.2528353,-38.140266,18.54013,-1.3950256,-21.868668,23.049435,1474.2739870616333,801.1607089749014,3488.792158136706,1886.0071281542077,1406.8141017872906,3188.6065438416645,0.05981539721094354,0.00634765625,0.16064453125,0.09406918,0.030307254,0.2155287,27.644738555441485,7.527105321848357,78.80032901132434,17.317897560069696,5.457846667840561,36.17966634728067,20.87708852925714,8.652400650401994,39.52709847311243,20.26444783670195,10.954678234297889,34.583654156568784,20.443712220479796,12.148153126261185,31.398722939120574,21.452797476009366,11.52957320880966,32.748952984360976,16.262128493891428,11.555921062008187,22.863431577529642,89.10290948275862
229,country.00029.wav,-171.242,-284.25607,-7.6205425,160.48726,60.547924,216.1951,-17.805805,-83.99595,47.84462,30.491001,-6.523159,78.25093,7.5109696,-26.090078,55.706635,-8.247462,-47.675148,20.19893,-5.667516,-31.548347,20.177515,0.1315497,-25.104122,31.045395,-8.835051,-44.087204,18.99046,-2.6557033,-32.124714,20.914227,0.7119979,-27.922024,32.69889,-3.7818263,-32.53961,26.953793,-6.502074,-32.80211,15.789751,1214.2001323890852,537.0201595844269,3995.7525565467686,1555.577737612877,932.7231811034957,3811.797500567151,0.054210547781322505,0.0166015625,0.169921875,0.11706559,0.03545171,0.26936087,20.970929165682755,8.29921525103005,49.515502590058574,16.938298967470143,6.586796227971746,38.109327895296715,20.84955774784577,8.092043631667293,40.3454504861713,19.76407473993717,10.185857417001309,31.467684751764885,18.729555037297292,9.926733517532401,28.37795253554112,21.142385934572232,12.104143639923384,32.79102260448115,16.942989938613675,10.778489003530703,25.49473375201196,89.10290948275862
230,country.00030.wav,-277.10757,-406.43118,-105.61604,128.25293,29.288189,187.69058,42.425167,-20.895649,81.83765,37.693504,3.1192405,66.51564,12.766559,-15.89542,42.785267,9.593897,-23.51891,44.48658,-5.988017,-39.99941,24.59438,-7.539555,-34.929794,17.536308,-8.03414,-34.890194,18.497625,-4.9425426,-42.660393,25.042522,-6.532016,-32.125793,26.710564,-3.6276443,-28.562355,30.834301,-7.2275624,-33.99256,32.2518,1240.7101460307892,510.24819222059006,4665.543580193136,1997.0119970846558,1090.4222366091994,3588.961976307698,0.0428343121616396,0.01416015625,0.16162109375,0.07958206,0.020203594,0.28395355,25.289973245671092,11.564214228276096,49.16527836223484,19.86105839315992,4.491452598943349,37.47914903733175,26.176988140414192,10.965557782193018,45.74907014544006,24.060967373702724,11.34374187452537,37.118632959370686,22.731243289234563,12.959330890899881,34.42702505966537,19.79436174467879,11.519604247617243,30.88640033249685,16.675072590093336,11.25326057761788,24.874053499731794,161.4990234375
231,country.00031.wav,-130.48167,-249.83269,-14.571605,104.1242,6.0243816,173.15033,-19.271059,-61.787533,47.749054,34.147877,-1.4651613,63.712437,5.397541,-35.776237,50.672935,-2.171723,-33.727226,30.033775,-0.7280454,-35.24607,28.270947,-2.9078913,-36.141167,31.312769,-5.4620852,-30.667538,21.632763,4.0693655,-20.73713,31.210575,-4.469832,-30.525421,16.017881,3.5257306,-18.210163,34.85381,2.1481223,-23.24017,21.540253,2053.1842219986365,946.6910165785001,5836.843067448649,2187.743333767352,1329.4395563998287,3946.1880633739556,0.09532511298820573,0.0185546875,0.4599609375,0.100796506,0.02325239,0.1913755,19.48051859689167,7.087733332723137,40.423678203526876,19.124486822938,4.663918056080658,35.31050406874893,23.700010133863348,10.338334372696186,48.40108748835701,21.98943807247419,10.570575295431208,34.5294784566995,21.49262052080829,12.52974869374192,32.15891250748447,22.90749106996314,12.563863636348692,34.231478673417115,17.908701475677564,11.8664277590413,25.34857015931142,112.34714673913044
232,country.00032.wav,-237.93953,-430.769,-70.10152,97.7333,-37.141224,164.16458,6.486745,-52.511482,60.727432,45.971268,1.8508228,88.31491,2.148812,-40.900978,43.05272,16.21856,-14.969311,38.601826,8.811721,-22.506493,41.12333,7.7636333,-17.277166,42.235073,-0.58992034,-21.703976,26.858513,4.483779,-19.303438,32.767994,0.1491991,-24.219746,22.893198,3.0199268,-15.76931,24.556976,-1.6625812,-26.36845,25.154007,1823.2405420958114,607.2997947243191,5398.85123282042,2205.841484150421,1240.0284422525722,3419.795968224953,0.06758635742942769,0.0107421875,0.36376953125,0.060507,0.008899428,0.19911994,28.208932160400643,8.248709428855427,50.95940238278553,21.299204970635415,7.8168025471497415,45.21651375540057,24.326521536142927,10.577331085915116,40.02512828775339,23.502985059988177,9.905673901801535,35.33801045019796,23.31705927997624,12.21654234400341,35.54822984898346,22.3899168202716,12.95522545432348,30.89559373167975,20.21753510842862,12.321084167941066,29.392532066372084,99.38401442307692
233,country.00033.wav,-133.27147,-314.096,7.643224,78.98,-26.456654,176.70013,-5.6516805,-79.01244,53.8499,35.54217,-25.543098,87.05664,-7.5470138,-53.44174,27.756798,7.928213,-30.349762,39.10389,2.7289069,-28.87727,34.10151,0.40225086,-40.412464,37.652306,-1.1442518,-28.938816,29.059652,-1.1125528,-25.204899,26.288897,-7.844962,-44.268032,16.566055,-1.1714913,-25.7234,26.496485,-4.8177476,-31.50835,24.074669,2456.7182165816203,922.7822180006453,5447.471459735885,2387.4975939529986,1324.5068807686569,3475.9653784516236,0.12363183065061871,0.017578125,0.4501953125,0.1045934,0.014349724,0.2304791,25.52554081548484,11.811986757998165,48.02477818644978,17.25886266570208,5.511555771491675,34.51194554084127,21.901375786853656,8.663030496881598,48.81973564700824,21.40060388678283,7.1197316306752505,39.203794604686166,21.781045301554574,10.045876440358777,34.737862816537884,21.06964993856887,7.8020219213903435,35.52636359977825,17.95625888023012,12.069319551724789,26.563275592617547,92.28515625
234,country.00034.wav,-153.86862,-298.32617,-19.405989,83.66914,3.7431927,161.49469,-8.426157,-92.51336,54.735153,13.954346,-30.966707,58.792473,13.531212,-19.663418,63.332283,3.7665932,-50.935966,36.356308,3.009783,-30.768902,32.965717,6.355866,-18.444765,36.658073,2.077902,-30.422724,46.267128,2.0688808,-28.412052,33.890797,3.1684868,-31.678535,33.442894,-0.48438066,-28.61603,26.419674,-3.0256164,-30.912102,23.088648,2614.3440997684415,1064.2554690503482,6723.265593106872,2655.9285724653673,1327.4552231127545,3735.7538426488845,0.11928223789153132,0.02197265625,0.51904296875,0.07823296,0.014103088,0.2241017,27.2533437138939,8.982980382445323,54.38178228685137,16.148594719067518,6.850466533129012,28.797228597541476,19.361491460415547,7.805161576014004,37.98150572847407,19.365091173606682,7.882700134519258,34.860597448985864,19.120604528705584,10.197968274789359,33.094621687411426,18.150096308453705,10.902519009368817,31.021265751889665,15.058459682238095,10.46760406356829,24.777780976246778,135.99917763157896
235,country.00035.wav,-120.41707,-229.34909,-13.155665,95.35442,-6.1163597,157.90228,-6.02527,-51.800632,68.599266,25.163818,-17.141428,72.201096,20.953634,-24.124329,67.75517,-7.1270046,-45.354332,33.206253,8.549671,-20.271809,37.714897,2.4336689,-23.419628,33.804832,-14.656025,-43.110764,13.31374,9.28693,-19.501408,45.888023,-2.360925,-28.0861,29.126171,-3.1556685,-23.31966,27.964705,0.6114374,-21.175465,21.516327,2321.8879492685483,1082.5353960591247,6077.949261096395,2545.383232254306,1675.7592204813718,3783.8893041029955,0.10436530234918794,0.02783203125,0.466796875,0.099928215,0.02858624,0.20194887,23.77527067653271,10.115857500354087,51.23949908303901,17.122635751940148,6.745220542271915,34.27370716324166,20.36816587897467,9.849922060509481,36.73474214047168,19.526453024849964,8.97720201820723,32.483416703490136,18.00025358796545,10.154291730821239,28.696816600910903,22.13338885861902,10.543005918996379,32.65991178034815,16.803751935932365,11.360437957204386,24.242246388254404,99.38401442307692
236,country.00036.wav,-339.64667,-541.5735,-81.84157,97.738594,-20.318417,157.77438,-9.763496,-103.43078,70.27325,50.972683,-10.078814,102.619965,7.8148556,-40.523026,64.33037,11.721101,-52.876457,50.141846,0.673925,-32.227245,45.826393,2.4926813,-33.10919,31.998793,-4.7740016,-39.51087,25.702663,0.2095193,-28.162548,30.978012,-5.9796576,-36.83413,26.270386,-2.9014666,-27.14553,32.408127,-6.158287,-30.115978,16.250875,1827.8001725934416,545.1427464412087,4423.641960548582,2050.2592014517736,1278.3264301193135,3463.9843268406835,0.08486652890564579,0.0087890625,0.33056640625,0.022760969,0.0026288435,0.09286452,25.683354626338485,11.4153353110323,54.2046647475444,21.52821244458255,6.052519437364994,41.17656689470067,23.69937964335104,9.647404128468708,46.00954212690348,22.792637955903004,10.231685288713546,36.87749139553849,21.448170879425323,10.882891290736094,33.87975379998477,21.284907462866926,11.67454609167389,33.101974570304165,18.66241847773401,12.077393062555645,29.89940354773123,112.34714673913044
237,country.00037.wav,-173.44347,-320.00146,-32.306652,105.07096,-15.618449,162.98062,1.1555926,-69.659035,59.92051,24.1155,-25.742176,55.61879,22.134285,-30.117813,66.040855,2.5480735,-38.449413,35.6773,-1.5893732,-36.401016,26.24579,0.16644405,-25.255058,32.055447,-5.327747,-38.716034,16.150791,3.8132274,-28.390717,35.481537,-4.5264587,-29.436447,24.155304,-4.588155,-30.175735,20.658657,-1.5657426,-22.94104,18.696117,2068.662126290897,976.1325869837144,5995.941039842131,2437.6024358625427,1469.5404450649485,3730.5791224930813,0.08496433620939675,0.02099609375,0.46923828125,0.07204812,0.01922251,0.15215349,21.2212951724868,8.700077244602596,44.577072854249664,17.114242767071087,6.396289013940927,37.24392263028908,20.132905625316525,9.445783722761227,38.48838053779722,18.693883081905344,9.829423029652915,32.640277639490094,20.129460988315437,11.03350255296559,33.45043333165035,18.53525020179023,10.704655479957877,29.856125152856976,15.622818316044285,11.301308672843344,21.43411001299367,99.38401442307692
238,country.00038.wav,-118.0589,-231.2536,11.704272,74.18071,9.929754,144.14774,8.265662,-44.680927,61.123516,15.447167,-21.424309,58.423084,6.1578817,-31.926735,36.04001,8.441981,-25.034016,43.07589,4.1116734,-27.413506,30.848799,5.726584,-19.821293,27.086033,-1.9592637,-30.337849,23.635393,3.1633985,-26.780594,29.22926,5.048196,-19.80827,32.28894,-1.1217973,-25.19532,19.123907,2.4379733,-23.536797,35.093735,2860.0275833530027,1305.0676416941872,5472.85665456958,2919.6222345104266,1798.2702101428217,3716.23132147565,0.12114926225348027,0.046875,0.35791015625,0.09088994,0.024458239,0.19503878,21.31640012974076,8.292750872085847,47.9303717009046,16.165171638077076,6.216630324382175,33.93582005372236,19.722346195753435,9.318509286188325,36.86041782886616,20.39307449237864,9.681408380315945,34.75866315639898,19.697473794066212,10.335807026425144,31.20317015503785,17.599794572855306,9.645011720486538,28.75323404235339,16.202218839152945,11.679467360493838,28.641684305393376,151.99908088235293
239,country.00039.wav,-89.70955,-232.28548,34.670853,36.28278,-27.641642,108.19923,11.465646,-32.219604,70.045944,37.4974,-2.816279,80.01587,9.179834,-49.90637,49.302944,3.7314453,-18.769087,30.296997,2.8276622,-24.511951,44.44075,6.81722,-20.509377,37.914986,1.4637537,-24.262291,29.274181,0.09840078,-25.03537,21.694588,1.0316733,-21.78238,30.838043,1.1726794,-22.91832,23.512283,-3.5680354,-36.11518,16.315596,3760.408113053086,1964.4191576640685,6602.333710842881,3052.8443953202923,1999.9099735685957,4247.225236650058,0.21236722375290024,0.0810546875,0.5615234375,0.09632568,0.033103112,0.21252887,23.70616659189745,11.745101075018574,49.58866700332995,14.611312350566415,4.692252178137787,32.41011411139334,20.739169903231133,9.430991838368813,36.88490544267311,19.656362365128285,10.50308331690198,32.67280362161418,20.082104809169294,11.434343089474625,31.20978920504222,17.85388170213408,11.677017464382613,27.542721418606654,16.23176714242517,11.353519454107413,24.982938820083074,123.046875
240,country.00040.wav,-102.86877,-305.63193,24.611692,85.338524,13.147554,140.05441,-4.320379,-55.757248,46.759834,30.584402,-9.134174,73.31273,3.0148714,-44.55522,53.50908,-1.9487437,-51.82556,22.09688,4.437098,-25.692974,43.819145,3.4139795,-22.042393,33.280315,-4.2582784,-34.37572,24.068293,-1.7707374,-36.692295,24.368256,-3.9678407,-35.644333,20.115875,-1.3573309,-23.776505,24.473763,-3.7603476,-29.642105,20.177193,2449.7536777060777,1035.6203426672485,5132.044562848652,2560.4589639124774,1747.6282917121507,3656.252099885664,0.10630558778035576,0.02490234375,0.36669921875,0.10900008,0.019657556,0.217096,26.59990617417483,12.376483644220444,63.841284979449696,15.483997690011128,4.883526455140309,33.967656803660745,18.829898398809927,9.008212428385342,36.5704153854315,18.862140851600422,8.745382431476026,32.58043036491193,17.345453746603564,10.768221475289824,30.98352268131908,18.707786866646384,11.262093784229156,29.727380720580765,15.875211803548526,11.07615203443518,25.053618528471105,143.5546875
241,country.00041.wav,-111.62214,-252.52525,5.1792216,82.249146,-5.410638,157.42358,13.051351,-41.246826,64.418015,31.925335,-18.859177,73.241,23.684826,-10.927864,64.64226,-0.5329459,-44.99353,31.727772,12.03311,-16.19189,47.336212,3.6621604,-34.439438,29.828043,-5.7393713,-45.640472,29.999107,3.3419154,-21.241266,25.746365,1.4315192,-19.91095,32.436943,0.771382,-25.064178,23.477444,0.54974717,-26.535538,29.225925,2634.223606489956,933.613725636749,5594.880987511567,2898.649215130567,1866.0067505066504,4234.34729590611,0.09586022090100542,0.00830078125,0.37890625,0.11321748,0.046977554,0.18451871,23.315132692913167,12.017270565739743,54.68862133139833,16.45483360795448,5.760102152805698,35.216768080998804,19.5660539483426,7.40140829546684,39.075571658835216,18.021449210709804,7.3808358337818945,32.16854208890839,17.73237807097493,9.019691644461183,27.29741273178699,19.30545209176622,11.476349048800467,29.581995744770964,15.403830873910598,11.416774129264345,24.329941637722975,129.19921875
242,country.00042.wav,-101.28794,-213.01535,7.3933773,84.11575,18.578566,149.25626,7.7757306,-42.879303,75.53172,30.372738,-16.111565,72.17211,13.849443,-27.193203,52.961334,11.625496,-16.906456,37.7386,-0.11909642,-20.468676,30.413204,-4.9368935,-30.680244,29.014246,-2.3647227,-22.065147,26.858484,-1.968338,-25.750786,23.171787,-8.188102,-32.41929,16.34306,2.820076,-18.862694,25.932991,0.5401414,-18.64524,33.021904,2387.97203880899,1043.6808073167701,5824.662917296957,2716.6177620554517,1596.3344557394028,3960.0855396542756,0.08704434636020882,0.02099609375,0.37890625,0.11766618,0.04262709,0.1736162,28.252071952905258,9.377855180432976,53.39220434209004,16.61121841707394,6.6126575448682186,33.615932945239535,20.19910129442474,9.638148431192695,37.77747486580552,18.316380049776974,9.217675380804497,30.129150091436735,18.91180016624338,10.083090960184842,32.28358624047363,17.747639415858153,10.719262901062908,26.78656764037229,15.786261850856107,11.192595943011185,24.423197541669744,103.359375
243,country.00043.wav,-101.192665,-264.38123,17.471685,85.44991,-4.3971086,153.19452,-19.70174,-86.45713,38.803543,20.570631,-19.616653,64.88333,9.992323,-27.985268,44.118484,7.598466,-24.642399,39.309555,0.10015647,-36.076843,32.24259,3.40321,-26.034044,27.677353,0.05630742,-31.810295,27.774967,1.5763917,-19.402199,25.826681,-1.4527315,-21.767265,21.583134,-1.2911735,-18.760664,21.584473,2.1356747,-19.538578,26.28624,2530.4998439482647,1127.4052989429622,5754.32598921379,2491.290219955262,1494.5325300442287,3522.5478082653412,0.13428527407192575,0.0400390625,0.46923828125,0.094972506,0.03331046,0.21530731,19.54255897453085,9.493283151181659,38.93825851728678,15.217934175176419,5.139316742478485,30.683959313394325,19.361587079609485,8.53986931098968,38.06151348063612,19.446022533089327,9.19690935104165,33.89315997607507,20.4015953076246,9.883169674707279,33.44243550372144,18.020771902480153,10.304834119285042,31.297658750257064,16.10169589847854,11.076369149236834,22.435896809341592,135.99917763157896
244,country.00044.wav,-162.78079,-372.89688,-11.006455,119.890144,-1.5843258,207.57468,-2.9078412,-48.054565,69.49098,20.50893,-30.186623,65.115585,27.810158,-16.069115,74.983505,5.4901705,-75.08356,39.592964,6.040869,-28.536106,34.740894,1.1912667,-26.58333,26.280941,-3.696575,-35.87315,24.12832,0.35227868,-27.610035,30.016499,4.4168353,-19.201904,42.067886,-0.41024783,-20.401257,25.372784,2.4561374,-21.26773,34.569893,1729.7885870910534,516.9151592299958,5089.664310390604,2247.6077330866415,1058.9253904889588,3808.950633861159,0.06650367966937355,0.0048828125,0.31982421875,0.11364318,0.028267108,0.25396824,22.74098115221604,12.11622916931719,42.99545655811093,18.90997811796069,6.721492470412531,35.18099253624894,24.026884056075897,9.676795867363035,43.62237903094989,22.682965180079524,9.245243964308889,40.90805254729746,22.904559904612164,7.8223569258035885,37.49532219324526,22.359174738060428,11.855222900089533,35.02004649452825,17.622846695766885,11.634287122339156,26.447887263173524,78.30255681818181
245,country.00045.wav,-61.222664,-257.82312,66.37738,71.25142,-31.337887,144.30315,-17.037924,-84.7957,69.48419,17.114265,-52.840607,65.08101,5.0512624,-36.28219,50.081398,-4.2119603,-43.78479,31.192196,-1.6805955,-41.373905,31.331291,1.1818885,-29.312183,30.049541,-0.8543821,-37.72503,27.759123,4.9677687,-24.378605,32.661324,-1.7029343,-34.009895,21.53984,4.8418956,-26.622902,35.994274,-0.16024254,-31.314276,24.855312,2777.4882405051285,1278.8946990959862,6929.9369178271,2647.8062084161784,1612.480064306086,3560.386239106642,0.13297072880413766,0.0224609375,0.64013671875,0.14658697,0.031064035,0.27886918,23.278329482849347,6.523922141739618,53.290080900588954,16.88803336048179,5.12765169888705,35.82224083835425,20.032192904842688,9.03146078613935,39.24589311356137,18.2914761923164,8.842665669779777,30.252245234575504,18.704662517840664,10.231129153755813,32.268132765829236,18.400007644300775,11.238211926920227,31.73495648833714,16.305569431003757,11.803399210010463,25.46269270862755,78.30255681818181
246,country.00046.wav,-126.90665,-266.58136,-18.168438,103.49357,-3.1021824,164.2411,-31.897821,-72.831375,57.529095,58.728836,8.743129,113.86478,-1.9615225,-47.255814,50.45713,-3.1359186,-42.60573,26.108955,-2.9429364,-28.631578,26.541332,0.36023784,-22.935415,36.713978,-3.034348,-39.073868,26.63395,-0.8273261,-24.052633,26.21978,5.5868716,-21.387249,40.6112,-10.137715,-41.269108,17.6161,0.72898966,-35.747578,35.02325,2109.417730689385,883.6530965598039,5114.96003909918,1933.8314274427828,1469.512886596887,3460.5999025724045,0.11588466139791183,0.02001953125,0.35205078125,0.10329493,0.03385243,0.1842439,27.472987583116023,14.68825045505849,60.31207932702711,16.445462285330603,5.875977054124232,38.18501359326882,20.5696605974629,9.027631784688394,37.487366470212656,19.310969845267085,7.599915734371883,33.90144097007313,19.44440104713161,8.673454302354642,30.20903721340587,21.59454803909368,12.249034546522847,29.811849028903943,17.374431022795555,11.863037931379912,24.642941769167933,78.30255681818181
